x,y,z,Ex,Ey,Ez
-0.00025,0.0,-0.000125,-6.7073161745777625,3.581475999354952,9.107450270028473
-0.00025,0.0,-9.375e-05,-6.706637542881603,3.5816779573539304,8.940466637209248
-0.00025,0.0,-6.25e-05,-6.705875859510178,3.581822219671132,8.774340352656822
-0.00025,0.0,-3.125e-05,-6.705031008732165,3.581908779703012,8.609058999311234
-0.00025,0.0,0.0,-6.704102881063298,3.581937633487243,8.444610182868963
-0.00025,0.0,3.125000000000003e-05,-6.703091373264142,3.581908779703012,8.280981532162734
-0.00025,0.0,6.25e-05,-6.701996388337397,3.581822219671132,8.118160699537059
-0.00025,0.0,9.374999999999997e-05,-6.700817835524862,3.5816779573539304,7.95613536121949
-0.00025,0.0,0.000125,-6.699555630303904,3.581475999354952,7.794893217687668
-0.00025,0.0,0.00015625000000000003,-6.698209694383639,3.5812163549184532,7.634421994032248
-0.00025,0.0,0.0001875,-6.696779955700568,3.580899035928697,7.474709440315721
-0.00025,0.0,0.00021874999999999998,-6.695266348413953,3.5805240569090486,7.315743331927325
-0.00025,0.0,0.00025,-6.693668812900653,3.5800914350208686,7.157511469933862
-0.00025,3.125000000000003e-05,-0.00025,-6.70870566506143,3.317012836191357,9.784580144540513
-0.00025,3.125000000000003e-05,-0.00021875,-6.7083579096416805,3.3172716138969984,9.613988404839194
-0.00025,3.125000000000003e-05,-0.0001875,-6.707927635367461,3.317479805108554,9.44430387677069
-0.00025,3.125000000000003e-05,-0.00015625,-6.707414701507768,3.3176373802450323,9.275514058767156
-0.00025,3.125000000000003e-05,-0.000125,-6.706818973583293,3.3177443123499097,9.107606470454307
-0.00025,3.125000000000003e-05,-9.375e-05,-6.706140323365777,3.317800577091827,8.940568653048992
-0.00025,3.125000000000003e-05,-6.25e-05,-6.705378628876963,3.3178061527650877,8.774388169752138
-0.00025,3.125000000000003e-05,-3.125e-05,-6.704533774387187,3.317761020289983,8.609052606137304
-0.00025,3.125000000000003e-05,0.0,-6.703605650413479,3.317665163212898,8.444549570534699
-0.00025,3.125000000000003e-05,3.125000000000003e-05,-6.70259415371735,3.3175185677062533,8.280866694410793
-0.00025,3.125000000000003e-05,6.25e-05,-6.701499187302085,3.3173212225682276,8.11799163274366
-0.00025,3.125000000000003e-05,9.374999999999997e-05,-6.70032066040971,3.317073119222319,7.955912064394045
-0.00025,3.125000000000003e-05,0.000125,-6.699058488517465,3.316774251716681,7.794615692472203
-0.00025,3.125000000000003e-05,0.00015625000000000003,-6.697712593333965,3.3164246167233067,7.634090244700626
-0.00025,3.125000000000003e-05,0.0001875,-6.696282902794886,3.3160242135369824,7.474323473772712
-0.00025,3.125000000000003e-05,0.00021874999999999998,-6.694769351058267,3.315573044074071,7.315303157707401
-0.00025,3.125000000000003e-05,0.00025,-6.693171878499439,3.315071112871108,7.157017100199861
-0.00025,6.25e-05,-0.00025,-6.708137351918316,3.0543063128021806,9.784775538234417
-0.00025,6.25e-05,-0.00021875,-6.707789557775031,3.054391295487993,9.614136756566431
-0.00025,6.25e-05,-0.0001875,-6.707359252886013,3.054432742240979,9.444405149431283
-0.00025,6.25e-05,-0.00015625,-6.706846296525362,3.054430611059479,9.275568217878643
-0.00025,6.25e-05,-0.000125,-6.706250554218395,3.054384862552955,9.107613484152298
-0.00025,6.25e-05,-9.375e-05,-6.7055718977410885,3.05429545994242,8.940528492087566
